account_id,tier,region,industry,is_churned,annual_contract_value,onboarding_date,tenure_days,tier_rank,booking_count_30d,total_spend_30d,avg_booking_amount_30d,booking_count_90d,total_spend_90d,avg_booking_amount_90d,booking_count_180d,total_spend_180d,avg_booking_amount_180d,days_since_last_booking,total_booking_count,total_spend,booking_volume_trend,spend_trend,spend_acceleration,cancellation_rate_30d,cancellation_rate_90d,num_active_products,product_diversity_score,active_contract_value,contract_renewal_count,has_neo,has_egencia_analytics_studio,has_meetings_and_events,has_travel_consulting,total_ticket_count,avg_resolution_hours,ticket_rate_per_month,p1_p2_escalation_ratio,ticket_count_90d,ticket_trend_ratio,avg_severe_resolution_hours,ticket_category_concentration,out_of_policy_rate_30d,out_of_policy_rate_90d,oop_trend,destination_diversity,avg_lead_time_days,clv_12m,feature_timestamp
ACCT-00000,Bronze,EMEA,Legal,False,29159.65,2024-07-22,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-14 20:17:53.742139
ACCT-00001,Silver,EMEA,Manufacturing,False,160366.48,2023-09-06,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11492.16,2026-04-14 20:17:53.742139
ACCT-00002,Bronze,North America,Pharmaceuticals,True,32697.7,2022-01-28,338,1,0.0,0.0,0.0,1.0,179.43,179.43,2.0,329.3,164.65,33.0,4.0,694.76,0.0,-93.01500000000001,-18.080000000000013,0.0,0.5,1.0,-7.213475800929758e-11,8538.48,0,0.0,0.0,0.0,1.0,17.0,58.27058823529412,1.5971604938271604,0.058823529411764705,5.0,1.0435185900904385,7.48,0.35294117647058826,0.0,0.0,0.0,3.0,28.125,7755.46,2026-04-14 20:17:53.742139
ACCT-00003,Bronze,North America,Media & Entertainment,False,27485.24,2020-05-27,949,1,2.0,387.0,193.5,6.0,911.4499999999999,151.90833333333333,14.0,2484.85,177.4892857142857,3.0,47.0,8869.75,0.010869565217391304,-2.7679898362507074,-54.76871428571428,0.0,0.14285714285714285,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,33.48,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14285714285714285,-0.14285714285714285,6.0,34.089285714285715,2484.29,2026-04-14 20:17:53.742139
ACCT-00004,Gold,EMEA,Manufacturing,False,215293.7,2020-10-06,817,3,18.0,12088.82,671.6011111111111,40.0,20957.18,523.9295,74.0,48084.89,649.7958108108108,1.0,339.0,206263.75,-0.18782608695652175,-22.51927391304346,14.652678280690452,0.1,0.14893617021276595,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,47.0525,0.3162597402597403,0.0,0.0,0.0,0.0,0.5,0.0,0.0425531914893617,-0.0425531914893617,6.0,31.158163265306122,99002.93,2026-04-14 20:17:53.742139
ACCT-00005,Bronze,EMEA,Education,False,22625.42,2021-03-19,653,1,1.0,43.88,43.88,5.0,483.32000000000005,96.66400000000002,9.0,676.24,75.13777777777779,20.0,16.0,1508.42,-0.005494505494505499,0.26648351648351803,-14.112222222222215,0.0,0.0,3.0,0.7924812501441737,7862.469999999999,0,0.0,1.0,1.0,1.0,10.0,88.496,0.59453125,0.0,1.0,0.5606657906263688,0.0,0.4,0.0,0.0,0.0,4.0,31.27777777777778,9125.88,2026-04-14 20:17:53.742139
ACCT-00006,Bronze,LATAM,Media & Entertainment,False,25978.66,2022-01-12,354,1,3.0,613.54,204.51333333333332,9.0,2460.8,273.4222222222222,15.0,3884.29,258.9526666666667,4.0,20.0,5973.83,0.16666666666666666,-10.775833333333335,-158.95533333333333,0.0,0.1,1.0,-7.213475800929758e-11,6280.62,0,1.0,0.0,0.0,0.0,1.0,99.15,1.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.1,-0.1,5.0,30.681818181818183,7649.34,2026-04-14 20:17:53.742139
ACCT-00007,Bronze,APAC,Healthcare,False,27071.87,2024-06-05,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-14 20:17:53.742139
ACCT-00008,Gold,EMEA,Real Estate,False,82114.44,2020-08-07,877,3,8.0,3493.91,436.73875,21.0,10630.66,506.22190476190474,48.0,26773.88,557.7891666666667,2.0,242.0,135064.24,-0.049130434782608694,-56.53769565217393,-36.94505868544593,0.4666666666666667,0.4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21.0,82.21523809523809,1.0066771653543307,0.047619047619047616,2.0,0.6622447489727384,3.86,0.38095238095238093,0.13333333333333333,0.08571428571428572,0.047619047619047616,6.0,29.006734006734007,66572.64,2026-04-14 20:17:53.742139
ACCT-00009,Silver,EMEA,Technology,True,84725.93,2022-11-19,43,2,4.0,1099.76,274.94,4.0,1099.76,274.94,4.0,1099.76,274.94,4.0,4.0,1099.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,59.242000000000004,5.0,0.0,5.0,0.33333333333333337,0.0,0.6,0.0,0.0,0.0,1.0,37.0,13587.54,2026-04-14 20:17:53.742139
