feature,importance
booking_count_90d,0.27899647
total_spend_90d,0.26269054
total_spend_30d,0.07961776
active_contract_value,0.042753324
ticket_rate_per_month,0.022750316
num_active_products,0.022742528
days_since_last_booking,0.022221288
tier_rank,0.021020973
total_ticket_count,0.016390381
avg_booking_amount_30d,0.01550962
ticket_category_concentration,0.014478204
ticket_count_90d,0.014301097
total_spend_180d,0.013873675
has_meetings_and_events,0.012664317
booking_count_30d,0.012573846
annual_contract_value,0.0119567
total_spend,0.011450902
total_booking_count,0.010519301
destination_diversity,0.009263636
avg_lead_time_days,0.008730797
avg_booking_amount_90d,0.00812657
cancellation_rate_30d,0.007964206
booking_count_180d,0.0079087
p1_p2_escalation_ratio,0.0066981344
avg_resolution_hours,0.006622176
ticket_trend_ratio,0.0066196956
avg_booking_amount_180d,0.0066023353
avg_severe_resolution_hours,0.0061169663
cancellation_rate_90d,0.005414932
tenure_days,0.005347532
booking_volume_trend,0.0052930866
spend_acceleration,0.0050117695
spend_trend,0.0048615313
out_of_policy_rate_90d,0.004098623
oop_trend,0.0032480855
out_of_policy_rate_30d,0.002171801
has_travel_consulting,0.0018200008
product_diversity_score,0.0013128786
has_neo,0.00016216579
has_egencia_analytics_studio,9.3109775e-05
contract_renewal_count,0.0
