account_id,cluster,segment,umap_x,umap_y
ACCT-00000,2,Low-Engagement,16.431261,-3.0643566
ACCT-00001,1,At-Risk Accounts,-1.0228201,-0.05673084
ACCT-00002,-1,Unassigned,7.5604844,6.1337457
ACCT-00003,-1,Unassigned,10.872623,7.5550475
ACCT-00004,-1,Unassigned,8.097277,11.66404
ACCT-00005,-1,Unassigned,6.778136,4.0655804
ACCT-00006,-1,Unassigned,7.1708517,5.488256
ACCT-00007,2,Low-Engagement,16.684395,-4.9030604
ACCT-00008,-1,Unassigned,8.044974,11.258296
ACCT-00009,-1,Unassigned,7.57158,7.5197825
ACCT-00010,-1,Unassigned,6.5572553,5.32464
ACCT-00011,-1,Unassigned,10.517748,7.5919323
ACCT-00012,2,Low-Engagement,13.090884,-3.814855
ACCT-00013,2,Low-Engagement,12.360402,-4.336862
ACCT-00014,1,At-Risk Accounts,-5.277415,-2.0456016
ACCT-00015,-1,Unassigned,5.2846127,10.214885
ACCT-00016,-1,Unassigned,7.148277,6.852253
ACCT-00017,-1,Unassigned,5.1852503,17.066833
ACCT-00018,-1,Unassigned,7.5989614,4.898075
ACCT-00019,2,Low-Engagement,12.558919,-3.9989111
ACCT-00020,2,Low-Engagement,14.269403,-7.0796795
ACCT-00021,-1,Unassigned,9.033492,9.726709
ACCT-00022,2,Low-Engagement,11.391407,-7.1082263
ACCT-00023,-1,Unassigned,8.950751,7.265543
ACCT-00024,-1,Unassigned,8.609036,6.41526
ACCT-00025,-1,Unassigned,6.1757755,11.404748
ACCT-00026,-1,Unassigned,11.06985,9.432422
ACCT-00027,-1,Unassigned,7.9265075,17.061823
ACCT-00028,-1,Unassigned,5.094781,11.205956
ACCT-00029,-1,Unassigned,7.11977,5.1836004
ACCT-00030,-1,Unassigned,7.081443,5.0625577
ACCT-00031,2,Low-Engagement,11.739451,-5.7704444
ACCT-00032,1,At-Risk Accounts,-3.9146667,-1.8156173
ACCT-00033,-1,Unassigned,5.374755,7.8208933
ACCT-00034,-1,Unassigned,10.059689,8.609203
ACCT-00035,-1,Unassigned,3.4215298,8.059375
ACCT-00036,-1,Unassigned,5.5651274,11.286473
ACCT-00037,-1,Unassigned,10.120385,9.181779
ACCT-00038,-1,Unassigned,11.117516,6.558131
ACCT-00039,-1,Unassigned,12.320594,8.282577
ACCT-00040,1,At-Risk Accounts,-5.4869957,3.6655548
ACCT-00041,-1,Unassigned,7.898765,5.606409
ACCT-00042,2,Low-Engagement,10.3417845,-5.721644
ACCT-00043,-1,Unassigned,7.681425,7.608249
ACCT-00044,-1,Unassigned,8.320937,6.036531
ACCT-00045,2,Low-Engagement,14.735829,-0.4163709
ACCT-00046,1,At-Risk Accounts,-2.4238045,-0.46633524
ACCT-00047,-1,Unassigned,9.378174,8.568188
ACCT-00048,-1,Unassigned,11.169497,7.453496
ACCT-00049,0,At-Risk Accounts,7.1536465,19.402151
ACCT-00050,-1,Unassigned,7.064131,11.961287
ACCT-00051,-1,Unassigned,4.2587304,13.066852
ACCT-00052,-1,Unassigned,10.395095,6.5164495
ACCT-00053,2,Low-Engagement,12.176392,-7.645453
ACCT-00054,-1,Unassigned,7.067865,5.1835895
ACCT-00055,-1,Unassigned,11.634482,6.7086844
ACCT-00056,1,At-Risk Accounts,-3.7498384,0.61481446
ACCT-00057,1,At-Risk Accounts,-3.688408,3.608713
ACCT-00058,0,At-Risk Accounts,6.460807,19.625544
ACCT-00059,-1,Unassigned,6.4607587,10.874198
ACCT-00060,2,Low-Engagement,11.818864,-7.318639
ACCT-00061,-1,Unassigned,9.566631,8.050989
ACCT-00062,-1,Unassigned,6.225029,8.08242
ACCT-00063,-1,Unassigned,8.583636,5.4994817
ACCT-00064,-1,Unassigned,8.634706,7.2535605
ACCT-00065,-1,Unassigned,6.8533945,5.5821667
ACCT-00066,-1,Unassigned,10.201696,8.888515
ACCT-00067,-1,Unassigned,6.441022,5.935999
ACCT-00068,-1,Unassigned,8.616404,17.546873
ACCT-00069,-1,Unassigned,7.6552134,8.183257
ACCT-00070,-1,Unassigned,5.2770247,10.136993
ACCT-00071,1,At-Risk Accounts,-4.1338034,-1.9328563
ACCT-00072,-1,Unassigned,8.09187,5.4299
ACCT-00073,-1,Unassigned,6.023468,10.811005
ACCT-00074,-1,Unassigned,9.528699,10.8869295
ACCT-00075,-1,Unassigned,5.779022,4.936543
